year	teamID	finalTeamID	teamName
1975	HOU	HOU	Houston Rockets
1975	KCO	SAC	Kansas City-Omaha Kings
1975	LAL	LAL	Los Angeles Lakers
1975	MIL	MIL	Milwaukee Bucks
1975	NOJ	UTA	New Orleans Jazz
1975	NYK	NYK	New York Knicks
1975	PHI	PHI	Philadelphia 76ers
1975	PHO	PHO	Phoenix Suns
1975	POR	POR	Portland Trail Blazers
1975	SEA	OKC	Seattle SuperSonics
1975	WSB	WAS	Washington Bullets
1976	ATL	ATL	Atlanta Hawks
1976	BOS	BOS	Boston Celtics
1976	BUF	LAC	Buffalo Braves
1976	CHI	CHI	Chicago Bulls
1976	CLE	CLE	Cleveland Cavaliers
1976	DET	DET	Detroit Pistons
1976	GSW	GSW	Golden State Warriors
1976	HOU	HOU	Houston Rockets
1976	KCK	SAC	Kansas City Kings
1976	LAL	LAL	Los Angeles Lakers
1976	MIL	MIL	Milwaukee Bucks
1976	NOJ	UTA	New Orleans Jazz
1976	NYK	NYK	New York Knicks
1976	PHI	PHI	Philadelphia 76ers
1976	PHO	PHO	Phoenix Suns
1976	POR	POR	Portland Trail Blazers
1976	SEA	OKC	Seattle SuperSonics
1976	WSB	WAS	Washington Bullets
1977	ATL	ATL	Atlanta Hawks
1977	BOS	BOS	Boston Celtics
1977	BUF	LAC	Buffalo Braves
1977	CHI	CHI	Chicago Bulls
1977	CLE	CLE	Cleveland Cavaliers
1977	DEN	DEN	Denver Nuggets
1977	DET	DET	Detroit Pistons
1977	GSW	GSW	Golden State Warriors
1977	HOU	HOU	Houston Rockets
1977	IND	IND	Indiana Pacers
1977	KCK	SAC	Kansas City Kings
1977	LAL	LAL	Los Angeles Lakers
1977	MIL	MIL	Milwaukee Bucks
1977	NOJ	UTA	New Orleans Jazz
1977	NYK	NYK	New York Knicks
1977	NYN	NJN	New York Nets
1977	PHI	PHI	Philadelphia 76ers
1977	PHO	PHO	Phoenix Suns
1977	POR	POR	Portland Trail Blazers
1977	SAS	SAS	San Antonio Spurs
1977	SEA	OKC	Seattle SuperSonics
1977	WSB	WAS	Washington Bullets
1978	ATL	ATL	Atlanta Hawks
1978	BOS	BOS	Boston Celtics
1978	BUF	LAC	Buffalo Braves
1978	CHI	CHI	Chicago Bulls
1978	CLE	CLE	Cleveland Cavaliers
1978	DEN	DEN	Denver Nuggets
1978	DET	DET	Detroit Pistons
1978	GSW	GSW	Golden State Warriors
1978	HOU	HOU	Houston Rockets
1978	IND	IND	Indiana Pacers
1978	KCK	SAC	Kansas City Kings
1978	LAL	LAL	Los Angeles Lakers
1978	MIL	MIL	Milwaukee Bucks
1978	NJN	NJN	New Jersey Nets
1978	NOJ	UTA	New Orleans Jazz
1978	NYK	NYK	New York Knicks
1978	PHI	PHI	Philadelphia 76ers
1978	PHO	PHO	Phoenix Suns
1978	POR	POR	Portland Trail Blazers
1978	SAS	SAS	San Antonio Spurs
1978	SEA	OKC	Seattle SuperSonics
1978	WSB	WAS	Washington Bullets
1979	ATL	ATL	Atlanta Hawks
1979	BOS	BOS	Boston Celtics
1979	CHI	CHI	Chicago Bulls
1979	CLE	CLE	Cleveland Cavaliers
1979	DEN	DEN	Denver Nuggets
1979	DET	DET	Detroit Pistons
1979	GSW	GSW	Golden State Warriors
1979	HOU	HOU	Houston Rockets
1979	IND	IND	Indiana Pacers
1979	KCK	SAC	Kansas City Kings
1979	LAL	LAL	Los Angeles Lakers
1979	MIL	MIL	Milwaukee Bucks
1979	NJN	NJN	New Jersey Nets
1979	NOJ	UTA	New Orleans Jazz
1979	NYK	NYK	New York Knicks
1979	PHI	PHI	Philadelphia 76ers
1979	PHO	PHO	Phoenix Suns
1979	POR	POR	Portland Trail Blazers
1979	SAS	SAS	San Antonio Spurs
1979	SDC	LAC	San Diego Clippers
1979	SEA	OKC	Seattle SuperSonics
1979	WSB	WAS	Washington Bullets
1980	ATL	ATL	Atlanta Hawks
1980	BOS	BOS	Boston Celtics
1980	CHI	CHI	Chicago Bulls
1980	CLE	CLE	Cleveland Cavaliers
1980	DEN	DEN	Denver Nuggets
1980	DET	DET	Detroit Pistons
1980	GSW	GSW	Golden State Warriors
1980	HOU	HOU	Houston Rockets
1980	IND	IND	Indiana Pacers
1980	KCK	SAC	Kansas City Kings
1980	LAL	LAL	Los Angeles Lakers
1980	MIL	MIL	Milwaukee Bucks
1980	NJN	NJN	New Jersey Nets
1980	NYK	NYK	New York Knicks
1980	PHI	PHI	Philadelphia 76ers
1980	PHO	PHO	Phoenix Suns
1980	POR	POR	Portland Trail Blazers
1980	SAS	SAS	San Antonio Spurs
1980	SDC	LAC	San Diego Clippers
1980	SEA	OKC	Seattle SuperSonics
1980	UTA	UTA	Utah Jazz
1980	WSB	WAS	Washington Bullets
1981	ATL	ATL	Atlanta Hawks
1981	BOS	BOS	Boston Celtics
1981	CHI	CHI	Chicago Bulls
1981	CLE	CLE	Cleveland Cavaliers
1981	DAL	DAL	Dallas Mavericks
1981	DEN	DEN	Denver Nuggets
1981	DET	DET	Detroit Pistons
1981	GSW	GSW	Golden State Warriors
1981	HOU	HOU	Houston Rockets
1981	IND	IND	Indiana Pacers
1981	KCK	SAC	Kansas City Kings
1981	LAL	LAL	Los Angeles Lakers
1981	MIL	MIL	Milwaukee Bucks
1981	NJN	NJN	New Jersey Nets
1981	NYK	NYK	New York Knicks
1981	PHI	PHI	Philadelphia 76ers
1981	PHO	PHO	Phoenix Suns
1981	POR	POR	Portland Trail Blazers
1981	SAS	SAS	San Antonio Spurs
1981	SDC	LAC	San Diego Clippers
1981	SEA	OKC	Seattle SuperSonics
1981	UTA	UTA	Utah Jazz
1981	WSB	WAS	Washington Bullets
1982	ATL	ATL	Atlanta Hawks
1982	BOS	BOS	Boston Celtics
1982	CHI	CHI	Chicago Bulls
1982	CLE	CLE	Cleveland Cavaliers
1982	DAL	DAL	Dallas Mavericks
1982	DEN	DEN	Denver Nuggets
1982	DET	DET	Detroit Pistons
1982	GSW	GSW	Golden State Warriors
1982	HOU	HOU	Houston Rockets
1982	IND	IND	Indiana Pacers
1982	KCK	SAC	Kansas City Kings
1982	LAL	LAL	Los Angeles Lakers
1982	MIL	MIL	Milwaukee Bucks
1982	NJN	NJN	New Jersey Nets
1982	NYK	NYK	New York Knicks
1982	PHI	PHI	Philadelphia 76ers
1982	PHO	PHO	Phoenix Suns
1982	POR	POR	Portland Trail Blazers
1982	SAS	SAS	San Antonio Spurs
1982	SDC	LAC	San Diego Clippers
1982	SEA	OKC	Seattle SuperSonics
1982	UTA	UTA	Utah Jazz
1982	WSB	WAS	Washington Bullets
1983	ATL	ATL	Atlanta Hawks
1983	BOS	BOS	Boston Celtics
1983	CHI	CHI	Chicago Bulls
1983	CLE	CLE	Cleveland Cavaliers
1983	DAL	DAL	Dallas Mavericks
1983	DEN	DEN	Denver Nuggets
1983	DET	DET	Detroit Pistons
1983	GSW	GSW	Golden State Warriors
1983	HOU	HOU	Houston Rockets
1983	IND	IND	Indiana Pacers
1983	KCK	SAC	Kansas City Kings
1983	LAL	LAL	Los Angeles Lakers
1983	MIL	MIL	Milwaukee Bucks
1983	NJN	NJN	New Jersey Nets
1983	NYK	NYK	New York Knicks
1983	PHI	PHI	Philadelphia 76ers
1983	PHO	PHO	Phoenix Suns
1983	POR	POR	Portland Trail Blazers
1983	SAS	SAS	San Antonio Spurs
1983	SDC	LAC	San Diego Clippers
1983	SEA	OKC	Seattle SuperSonics
1983	UTA	UTA	Utah Jazz
1983	WSB	WAS	Washington Bullets
1984	ATL	ATL	Atlanta Hawks
1984	BOS	BOS	Boston Celtics
1984	CHI	CHI	Chicago Bulls
1984	CLE	CLE	Cleveland Cavaliers
1984	DAL	DAL	Dallas Mavericks
1984	DEN	DEN	Denver Nuggets
1984	DET	DET	Detroit Pistons
1984	GSW	GSW	Golden State Warriors
1984	HOU	HOU	Houston Rockets
1984	IND	IND	Indiana Pacers
1984	KCK	SAC	Kansas City Kings
1984	LAL	LAL	Los Angeles Lakers
1984	MIL	MIL	Milwaukee Bucks
1984	NJN	NJN	New Jersey Nets
1984	NYK	NYK	New York Knicks
1984	PHI	PHI	Philadelphia 76ers
1984	PHO	PHO	Phoenix Suns
1984	POR	POR	Portland Trail Blazers
1984	SAS	SAS	San Antonio Spurs
1984	SDC	LAC	San Diego Clippers
1984	SEA	OKC	Seattle SuperSonics
1984	UTA	UTA	Utah Jazz
1984	WSB	WAS	Washington Bullets
1985	ATL	ATL	Atlanta Hawks
1985	BOS	BOS	Boston Celtics
1985	CHI	CHI	Chicago Bulls
1985	CLE	CLE	Cleveland Cavaliers
1985	DAL	DAL	Dallas Mavericks
1985	DEN	DEN	Denver Nuggets
1985	DET	DET	Detroit Pistons
1985	GSW	GSW	Golden State Warriors
1985	HOU	HOU	Houston Rockets
1985	IND	IND	Indiana Pacers
1985	KCK	SAC	Kansas City Kings
1985	LAC	LAC	Los Angeles Clippers
1985	LAL	LAL	Los Angeles Lakers
1985	MIL	MIL	Milwaukee Bucks
1985	NJN	NJN	New Jersey Nets
1985	NYK	NYK	New York Knicks
1985	PHI	PHI	Philadelphia 76ers
1985	PHO	PHO	Phoenix Suns
1985	POR	POR	Portland Trail Blazers
1985	SAS	SAS	San Antonio Spurs
1985	SEA	OKC	Seattle SuperSonics
1985	UTA	UTA	Utah Jazz
