part	rank	time	name	year	day
2	80	Dec 10  00:09:26	(AoC++)	2015	10
2	81	Dec 10  00:09:26	madeinqc	2015	10
2	82	Dec 10  00:09:32	Joe LeGasse	2015	10
2	83	Dec 10  00:09:38	kristjan	2015	10
2	84	Dec 10  00:09:39	David Clyde	2015	10
2	85	Dec 10  00:09:45	Paul Johnson	2015	10
2	86	Dec 10  00:09:46	def-	2015	10
2	87	Dec 10  00:09:49	Piotr Piatkowski	2015	10
2	88	Dec 10  00:09:52	reacher	2015	10
2	89	Dec 10  00:10:02	(anonymous user #18180)	2015	10
2	90	Dec 10  00:10:13	kachok	2015	10
2	91	Dec 10  00:10:14	Boris Egorov	2015	10
2	92	Dec 10  00:10:14	noah chen	2015	10
2	93	Dec 10  00:10:14	David Wetterau	2015	10
2	94	Dec 10  00:10:15	David Grenier	2015	10
2	95	Dec 10  00:10:16	(AoC++)	2015	10
2	96	Dec 10  00:10:16	ahorner	2015	10
2	97	Dec 10  00:10:18	Kenneth Ruddick	2015	10
2	98	Dec 10  00:10:23	Burritoman53	2015	10
2	99	Dec 10  00:10:24	bretik	2015	10
2	100	Dec 10  00:10:28	@ReadableName	2015	10
1	1	Dec 11  00:04:56	0x0dea	2015	11
1	2	Dec 11  00:05:20	glguy	2015	11
1	3	Dec 11  00:06:32	dragonnyxx	2015	11
1	4	Dec 11  00:07:43	asross	2015	11
1	5	Dec 11  00:08:39	tianyi5309	2015	11
1	6	Dec 11  00:09:14	Anthony Nguyen	2015	11
1	7	Dec 11  00:09:21	elbeno	2015	11
1	8	Dec 11  00:09:22	David Clyde	2015	11
1	9	Dec 11  00:09:32	msullivan	2015	11
1	10	Dec 11  00:10:07	edanaher	2015	11
1	11	Dec 11  00:10:15	malisper	2015	11
1	12	Dec 11  00:10:41	Michael Giuffrida	2015	11
1	13	Dec 11  00:11:12	jkseppan	2015	11
1	14	Dec 11  00:11:13	Raven Black	2015	11
1	15	Dec 11  00:11:16	Sreeram Ramachandran	2015	11
1	16	Dec 11  00:11:33	Piotr Piatkowski	2015	11
1	17	Dec 11  00:11:35	grencez	2015	11
1	18	Dec 11  00:11:39	marcusstuhr	2015	11
1	19	Dec 11  00:11:46	Kevin Shu	2015	11
1	20	Dec 11  00:12:03	djimbob	2015	11
1	21	Dec 11  00:12:04	JeffBobbo	2015	11
1	22	Dec 11  00:12:20	tomtheisen	2015	11
1	23	Dec 11  00:12:29	FuriousProgrammer	2015	11
1	24	Dec 11  00:12:33	Avery Crespi	2015	11
1	25	Dec 11  00:12:43	fnuttplus	2015	11
1	26	Dec 11  00:12:50	Bradcomp	2015	11
1	27	Dec 11  00:13:10	Benoit Hiller	2015	11
1	28	Dec 11  00:13:15	Talchas	2015	11
1	29	Dec 11  00:13:16	Paul Hankin	2015	11
1	30	Dec 11  00:13:24	Elliott Sales de Andrade	2015	11
1	31	Dec 11  00:13:26	Jacob Young	2015	11
1	32	Dec 11  00:13:28	dougg3	2015	11
1	33	Dec 11  00:13:31	Ian Fade	2015	11
1	34	Dec 11  00:13:32	Thomas Holmes	2015	11
1	35	Dec 11  00:13:49	Rob Biedenharn	2015	11
1	36	Dec 11  00:13:55	IMovedYourCheese	2015	11
1	37	Dec 11  00:13:56	(anonymous user #35470)	2015	11
1	38	Dec 11  00:13:59	jweather	2015	11
1	39	Dec 11  00:14:18	Igor Naverniouk	2015	11
1	40	Dec 11  00:14:18	Cory Chamblin	2015	11
1	41	Dec 11  00:14:26	Octav Zlatior	2015	11
1	42	Dec 11  00:14:42	m1el	2015	11
1	43	Dec 11  00:14:56	ahorner	2015	11
1	44	Dec 11  00:14:57	Arnav Sastry	2015	11
1	45	Dec 11  00:15:01	(anonymous user #25948)	2015	11
1	46	Dec 11  00:15:09	Andrew Skalski	2015	11
1	47	Dec 11  00:15:20	Tag	2015	11
1	48	Dec 11  00:15:22	Mikachu	2015	11
1	49	Dec 11  00:15:32	Chris Moyer	2015	11
1	50	Dec 11  00:16:20	0	2015	11
1	51	Dec 11  00:16:20	Paul Johnson	2015	11
1	52	Dec 11  00:16:21	Robert Offner	2015	11
1	53	Dec 11  00:16:40	Nick Parisi	2015	11
1	54	Dec 11  00:16:40	Pavel Egorov	2015	11
1	55	Dec 11  00:16:41	Thomas Peters	2015	11
1	56	Dec 11  00:16:42	adriweb	2015	11
1	57	Dec 11  00:17:02	charlieschmidt	2015	11
1	58	Dec 11  00:17:06	ferris	2015	11
1	59	Dec 11  00:17:08	Lincoln Atkinson	2015	11
1	60	Dec 11  00:17:22	Mark Kahn	2015	11
1	61	Dec 11  00:17:45	Patrick Carroll	2015	11
1	62	Dec 11  00:17:54	Matt Creenan	2015	11
1	63	Dec 11  00:18:14	Eli Lipsitz	2015	11
1	64	Dec 11  00:18:27	Hugh Jackson	2015	11
1	65	Dec 11  00:18:33	dylanhart	2015	11
1	66	Dec 11  00:18:38	Blecki	2015	11
1	67	Dec 11  00:19:06	Tryneus	2015	11
1	68	Dec 11  00:19:08	(anonymous user #35749)	2015	11
1	69	Dec 11  00:19:09	smarlow	2015	11
1	70	Dec 11  00:19:17	Roderic Day	2015	11
1	71	Dec 11  00:19:28	relsqui	2015	11
1	72	Dec 11  00:19:30	notmrregular	2015	11
1	73	Dec 11  00:19:42	Thomas Scallon	2015	11
1	74	Dec 11  00:19:43	soolar	2015	11
1	75	Dec 11  00:20:22	jneubrand	2015	11
1	76	Dec 11  00:20:36	Chris Penner	2015	11
1	77	Dec 11  00:20:40	Keegan Carruthers-Smith	2015	11
1	78	Dec 11  00:21:02	wooferzfg	2015	11
1	79	Dec 11  00:21:11	fenomas	2015	11
1	80	Dec 11  00:21:19	red75prime	2015	11
1	81	Dec 11  00:21:20	Rok Kralj	2015	11
1	82	Dec 11  00:21:29	Austin	2015	11
1	83	Dec 11  00:22:01	Thomas Carpenter	2015	11
1	84	Dec 11  00:22:12	Geordie Millar	2015	11
1	85	Dec 11  00:22:13	Andre LeBlanc	2015	11
1	86	Dec 11  00:22:21	@jsbluethree	2015	11
