index,title,date
2731,American Menu,2003-05-04
6823,American Moor,2019-09-08
6409,Amerike - The Golden Land,2017-07-10
6328,Amy and the Orphans,2018-03-01
5379,An Early History of Fire,2012-04-30
5361,An Iliad,2012-03-06
4422,an oak tree,2006-11-04
6475,An Ordinary Muslim,2018-02-26
4867,An Oresteia,2009-04-01
6761,Anatomy of a Suicide,2020-02-18
6924,Ancestral Voices,1999-10-18
5540,And Away We Go,2013-11-24
5854,And I and Silence,2014-08-25
6579,And Then There Were None,2017-04-14
6138,Angel Reapers,2016-02-22
5186,Angelina Ballerina,2011-01-09
5078,"Angels in America, A Gay Fantasia on National Themes, Part 1: Millennium Approaches",2010-10-28
5079,"Angels in America, A Gay Fantasia on National Themes, Part 2: Perestroika",2010-10-28
4559,Angry Young Women in Low-Rise Jeans With High-Class Issues,2007-08-12
4726,Animals Out of Paper,2008-08-04
6870,Anna Karenina: a riff,2019-11-22
5701,Annapurna,2014-04-21
4388,Anne of Green Gables,2007-03-29
4345,Annulla,2006-05-14
5686,Anthem,2013-10-07
3311,Antigone,2004-05-02
6164,Antlia Pneumatica,2016-04-04
4575,Antony and Cleopatra,2008-04-03
5770,Antony and Cleopatra,2014-03-05
5375,Regrets,2012-03-27
4297,Regrets Only,2006-11-19
6390,Relevance,2018-02-20
6240,Rendezvous at Senlis,1961-02-27
5246,Rent,2011-08-11
5030,Restoration,2010-05-19
6807,Revelation: The Musical,2019-05-09
5830,Revolution in the Elbow of Ragnar Agnarsson Furniture Painter,2014-08-13
4069,RFK,2005-11-15
2561,Rhapsody in Seth,2003-03-11
6822,Richard & Jane & Dick & Sally,2020-04-03
4374,Richard II,2006-09-17
5284,Richard II,2011-11-20
3432,Richard III,2004-10-11
4627,Richard III,2007-11-13
5473,Richard III,2012-08-11
5604,Richard III: Born With Teeth,2013-04-21
6262,Ride the Cyclone,2016-12-01
5732,Riding the Midnight Express with Billy Hayes,2014-02-05
5902,Riding the Midnight Express with Billy Hayes,2014-10-02
6270,Ring Twice for Miranda,2017-02-19
6796,"Rinse, Repeat",2019-07-31
5928,Ripcord,2015-10-20
4823,Road Show,2008-11-18
3082,Roar,2004-04-07
5857,Rock Bottom,2014-09-17
4787,Rock of Ages,2008-10-16
6787,Rock of Ages,2019-07-02
5975,Rocket to the Moon,2015-02-23
3503,Rodney's Wife,2004-12-01
3683,Romance,2005-03-01
4740,Romantic Poetry,2008-10-28
6871,Romeo & Bernadette: A Musical Tale of Verona and Brooklyn,2020-01-23
3508,Romeo and Juliet,2004-10-17
5663,Romeo and Juliet,2013-10-16
6191,Romeo and Juliet,2016-04-11
5220,Room,2011-03-15
4425,Room Service,2006-11-28
4853,Rooms: a rock romance,2009-03-16
4073,Rope,2005-12-04
5967,Rosario and the Gypsies,2015-02-18
3412,Rose Rage,2004-09-17
5722,Rosencrantz and Guildenstern are Dead,2014-01-12
2931,Rose's Dilemma,2003-12-18
5045,Rosmersholm,2010-11-21
3065,Roulette,2004-02-18
2923,Rounding Third,2003-10-07
5731,Row After Row,2014-01-23
4741,Ruined,2009-02-10
6782,runboyrun & In Old Age,2019-09-24
